geneNcbiID,diseaseUMLSCUI
213,C0152013
213,C0042164
213,C0020551
213,C0006111
213,C1863119
213,C0008312
213,C0030193
213,C0019209
213,C0035457
213,C0005398
213,C0036830
213,C0007786
213,C4277682
213,C0345913
213,C0019699
213,C0020517
213,C1306571
213,C0003460
213,C0025290
213,C0026848
213,C0017662
213,C0023892
213,C0005830
213,C0878666
213,C0011871
213,C0019061
213,C0020522
213,C0027055
213,C0004509
213,C0029582
213,C0022548
213,C0375359
213,C0001308
213,C0740392
213,C0029839
213,C0028797
213,C0002994
213,C3658339
213,C0029771
213,C4015776
213,C0013502
213,C0280725
213,C0038325
213,C0149519
213,C4551623
213,C1335060
213,C1565662
214,C0007097
214,C0553707
214,C1368683
215,C0162309
215,C1527231
215,C0001403
215,C0037772
215,C0019569
215,C3806634
215,C2026514
215,C0231687
215,C3714756
215,C3714772
215,C0027059
215,C1838993
215,C0014038
215,C3550234
215,C0497552
215,C1848097
216,C0025202
216,C0036341
216,C0001973
216,C0023895
216,C0085762
216,C0001969
216,C0007134
216,C3241937
216,C0242422
216,C1510586
216,C0022336
216,C0400966
217,C0001973
217,C0085762
217,C0016382
217,C0027051
217,C0030567
217,C0014859
217,C0001969
217,C0020538
217,C0279626
217,C0009404
217,C0023891
217,C0002395
217,C0011860
217,C0023895
217,C0236664
217,C0400966
217,C3241937
217,C2239176
217,C0030297
217,C0019337
217,C0004096
217,C0011854
217,C0393756
217,C0005586
217,C0025209
217,C0342257
217,C0349464
217,C0042373
217,C0153460
217,C0153463
217,C0751955
217,C0153458
217,C0011882
217,C0153459
217,C5436906
217,C0002940
217,C0028796
217,C0242973
217,C3149226
217,C0018805
217,C0752130
217,C1510586
217,C2608086
217,C2676227
